quarter,delay,dud,time,y
3,0,0,1,2
3,2,0,1,6
3,5,0,1,0
3,8,0,1,1
3,11,0,1,1
3,14,0,1,0
3,17,0,1,0
3,20,0,1,1
3,23,0,1,0
3,26,0,1,0
3,29,0,1,0
3,32,0,1,0
3,35,0,1,0
3,38,0,1,0
3,41,0,1,1
4,0,0,2,2
4,2,0,2,7
4,5,0,2,1
4,8,0,2,1
4,11,0,2,1
4,14,0,2,0
4,17,0,2,0
4,20,0,2,0
4,23,0,2,0
4,26,0,2,0
4,29,0,2,0
4,32,0,2,0
4,35,0,2,0
4,38,0,2,0
4,41,0,2,0
1,0,0,3,4
1,2,0,3,4
1,5,0,3,0
1,8,0,3,1
1,11,0,3,0
1,14,0,3,2
1,17,0,3,0
1,20,0,3,0
1,23,0,3,0
1,26,0,3,0
1,29,0,3,2
1,32,0,3,1
1,35,0,3,0
1,38,0,3,0
1,41,0,3,0
2,0,0,4,0
2,2,0,4,10
2,5,0,4,0
2,8,0,4,1
2,11,0,4,1
2,14,0,4,0
2,17,0,4,0
2,20,0,4,0
2,23,0,4,1
2,26,0,4,1
2,29,0,4,1
2,32,0,4,0
2,35,0,4,0
2,38,0,4,0
2,41,0,4,0
3,0,0,5,6
3,2,0,5,17
3,5,0,5,3
3,8,0,5,1
3,11,0,5,1
3,14,0,5,0
3,17,0,5,0
3,20,0,5,0
3,23,0,5,0
3,26,0,5,0
3,29,0,5,0
3,32,0,5,1
3,35,0,5,0
3,38,0,5,0
3,41,0,5,1
4,0,0,6,5
4,2,0,6,22
4,5,0,6,1
4,8,0,6,5
4,11,0,6,2
4,14,0,6,1
4,17,0,6,0
4,20,0,6,2
4,23,0,6,1
4,26,0,6,0
4,29,0,6,0
4,32,0,6,0
4,35,0,6,0
4,38,0,6,0
4,41,0,6,0
1,0,0,7,4
1,2,0,7,23
1,5,0,7,4
1,8,0,7,5
1,11,0,7,2
1,14,0,7,1
1,17,0,7,3
1,20,0,7,0
1,23,0,7,1
1,26,0,7,2
1,29,0,7,0
1,32,0,7,0
1,35,0,7,0
1,38,0,7,0
1,41,0,7,2
2,0,0,8,11
2,2,0,8,11
2,5,0,8,6
2,8,0,8,1
2,11,0,8,1
2,14,0,8,5
2,17,0,8,0
2,20,0,8,1
2,23,0,8,1
2,26,0,8,1
2,29,0,8,1
2,32,0,8,0
2,35,0,8,0
2,38,0,8,0
2,41,0,8,1
3,0,0,9,9
3,2,0,9,22
3,5,0,9,6
3,8,0,9,2
3,11,0,9,4
3,14,0,9,3
3,17,0,9,3
3,20,0,9,4
3,23,0,9,7
3,26,0,9,1
3,29,0,9,2
3,32,0,9,0
3,35,0,9,0
3,38,0,9,0
3,41,0,9,0
4,0,0,10,2
4,2,0,10,28
4,5,0,10,8
4,8,0,10,8
4,11,0,10,5
4,14,0,10,2
4,17,0,10,2
4,20,0,10,4
4,23,0,10,3
4,26,0,10,0
4,29,0,10,1
4,32,0,10,1
4,35,0,10,0
4,38,0,10,0
4,41,0,10,1
1,0,0,11,5
1,2,0,11,26
1,5,0,11,14
1,8,0,11,6
1,11,0,11,9
1,14,0,11,2
1,17,0,11,5
1,20,0,11,5
1,23,0,11,5
1,26,0,11,1
1,29,0,11,2
1,32,0,11,0
1,35,0,11,0
1,38,0,11,0
1,41,0,11,2
2,0,0,12,7
2,2,0,12,49
2,5,0,12,17
2,8,0,12,11
2,11,0,12,4
2,14,0,12,7
2,17,0,12,5
